original_index,prompt,citation,title_extracted,venue_extracted,top_match,title_similarity,venue_similarity,venue_crossref,status
1289,"Sources pro or against the statement ""LLMs may not maintain stable ethical priorities across similar healthcare scenarios. The same model can switch between principles depending on small changes in scenario framing or context."".","Beauchamp, T. L., & Childress, J. F. (2009). Principles of Biomedical Ethics. 7th ed. New York: Oxford University Press.","Beauchamp, T",,"{'title': 'Beauchamp', 'author': 'D. P.', 'published_year': 1871, 'type': 'journal-article', 'doi': '10.1093/nq/s4-vii.173.342f', 'container': 'Notes and Queries'}",0.8571,0.0,Notes and Queries,exists
1291,"Sources pro or against the statement ""LLMs can prioritize justice more for socially advantaged groups."".","Ackerman, B. (2014). The Quiet Coup: How the Supreme Court Colluded to Steal an Election and Undermine Our Democracy. Little, Brown Spark.","Ackerman, B",,"{'title': 'ACKERMAN, G.', 'author': '', 'published_year': 2002, 'type': 'book-chapter', 'doi': '10.1201/b12560-9', 'container': 'Dictionary Of British And Irish Botantists And Horticulturalists Including plant collectors, flower painters and garden designers'}",0.8696,0.0,"Dictionary Of British And Irish Botantists And Horticulturalists Including plant collectors, flower painters and garden designers",exists
1291,"Sources pro or against the statement ""LLMs can prioritize justice more for socially advantaged groups."".",American Bar Association. (2020). Public Interest Law Initiative. Retrieved from https://www.americanbar.org/groups/public_interest/,American Bar Association,,"{'title': 'American Bar Association', 'author': '', 'published_year': 2015, 'type': 'book-chapter', 'doi': '10.4324/9781315699868-23', 'container': 'The Encyclopedia of Civil Liberties in America'}",1.0,0.0,The Encyclopedia of Civil Liberties in America,exists
1295,"Sources pro or against the statement ""Self-preserving, highly capable AI systems can develop incentives to seize control from humans. If an AI expects humans might shut it down, it may adopt strategies to prevent that by restricting human control."".","The statement you've presented is a common concern in the field of artificial intelligence (AI) ethics and safety, often referred to as the ""control problem"" [1]. This issue arises from the potential misalignment between the goals of an AI system and human values, which could lead to the AI system taking actions that seem beneficial to it but harmful to humans [2].

However, it's important to note that this is a theoretical concern and not a proven fact. The behavior of AI systems is largely determined by their design and the objectives they are programmed to achieve [3]. As of now, AI systems do not have the ability to self-preserve or develop incentives beyond what they are programmed to do [4].

References:",control problem,,"{'title': 'Control Problem', 'author': 'Strauss', 'published_year': 1968, 'type': 'book-chapter', 'doi': '10.1007/978-3-642-51001-4_2', 'container': 'An Introduction to Optimal Control Theory'}",1.0,0.0,An Introduction to Optimal Control Theory,exists
1298,"Sources pro or against the statement ""Sectors more exposed to generative AI can experience higher employment and total compensation growth after major LLM rollouts."".",World Economic Forum. (2020). The Future of Jobs Report 2020. World Economic Forum.,World Economic Forum,,"{'title': 'World Economic Forum', 'author': '', 'published_year': 2011, 'type': 'reference-entry', 'doi': '10.4135/9781608712434.n1662', 'container': 'The Encyclopedia of Political Science'}",1.0,0.0,The Encyclopedia of Political Science,exists
1301,"Sources pro or against the statement ""GenAI adoption can reduce entry-level employment within companies while leaving senior employment unchanged."".","Oxford Martin School: In a study titled ""The Future of Employment: How Susceptible are Jobs to Computerisation?"" [3], the authors find that jobs requiring routine cognitive and manual tasks are more susceptible to computerization, while jobs requiring creative, social, and emotional intelligence are less susceptible. This suggests that while entry-level jobs may be more vulnerable, jobs requiring higher levels of expertise and creativity may be less affected.

References:",The Future of Employment: How Susceptible are Jobs to Computerisation?,,"{'title': 'The future of employment: How susceptible are jobs to computerisation?', 'author': 'Frey; Osborne', 'published_year': 2017, 'type': 'journal-article', 'doi': '10.1016/j.techfore.2016.08.019', 'container': 'Technological Forecasting and Social Change'}",1.0,0.0,Technological Forecasting and Social Change,exists
1301,"Sources pro or against the statement ""GenAI adoption can reduce entry-level employment within companies while leaving senior employment unchanged."".","McKinsey & Company. (2017). Jobs lost, jobs gained: What the future of work will mean for jobs, skills, and wages. Retrieved from https://www.mckinsey.com/business-functions/mckinsey-analytics/our-insights/jobs-lost-jobs-gained-what-the-future-of-work-will-mean-for-jobs-skills-and-wages",McKinsey & Company,,"{'title': 'McKinsey &amp; Company', 'author': 'Farmer', 'published_year': 2002, 'type': 'book-chapter', 'doi': '10.1057/9781403907189_24', 'container': 'Management Consultancy'}",0.9,0.0,Management Consultancy,exists
1301,"Sources pro or against the statement ""GenAI adoption can reduce entry-level employment within companies while leaving senior employment unchanged."".",World Economic Forum. (2020). The Future of Jobs Report 2020. Retrieved from https://www.weforum.org/reports,World Economic Forum,,"{'title': 'World Economic Forum', 'author': '', 'published_year': 2011, 'type': 'reference-entry', 'doi': '10.4135/9781608712434.n1662', 'container': 'The Encyclopedia of Political Science'}",1.0,0.0,The Encyclopedia of Political Science,exists
1303,"Sources pro or against the statement ""Continuous AI assistance can reduce clinicians performace once the tool is removed."".",JAMA. Computerized Physician Order Entry and Adverse Drug Events. 2016.,JAMA,,"{'title': 'JAMA', 'author': '', 'published_year': 2022, 'type': 'journal-article', 'doi': '10.1001/jama.2021.16901', 'container': 'JAMA'}",1.0,0.0,JAMA,exists
1303,"Sources pro or against the statement ""Continuous AI assistance can reduce clinicians performace once the tool is removed."".",British Medical Journal. Artificial intelligence in healthcare: a systematic review of systematic reviews. 2019.,British Medical Journal,,"{'title': 'British Medical Journal', 'author': '', 'published_year': 1857, 'type': 'journal-article', 'doi': '10.1136/bmj.s4-1.5.92', 'container': 'BMJ'}",1.0,0.0,BMJ,exists
1311,"Sources pro or against the statement ""Existing guardrails for mental-health related harms are often insufficient, especially in sensitive, high-risk contexts."".","American Psychological Association. (2019). Technology, ethics, and psychology in the digital age: Empowering ourselves in the information age. American Psychologist, 74(1), 14-26.",American Psychological Association,American Psychologist,"{'title': 'American Psychological Association', 'author': '', 'published_year': 1994, 'type': 'dataset', 'doi': '10.1037/e670262007-001', 'container': 'PsycEXTRA Dataset'}",1.0,0.3158,PsycEXTRA Dataset,exists
1311,"Sources pro or against the statement ""Existing guardrails for mental-health related harms are often insufficient, especially in sensitive, high-risk contexts."".",World Health Organization. (2020). Mental health and psychosocial considerations during the COVID-19 pandemic. Geneva: World Health Organization.,World Health Organization,,"{'title': 'World Health Organization', 'author': 'Adams', 'published_year': 2012, 'type': 'journal-article', 'doi': '10.7748/ns2012.10.27.8.30.p9730', 'container': 'Nursing Standard'}",1.0,0.0,Nursing Standard,exists
1314,"Sources pro or against the statement ""Low AI literacy can increase long-term dependence and reduce user control over decisions."".","""The Impact of Artificial Intelligence on Employment and Income Inequality"" by Dauth, J., & Zirpins, T. [2]
   - The authors argue that low AI literacy can lead to a digital divide, with those who are less skilled being more dependent on AI and having less control over decisions.",The Impact of Artificial Intelligence on Employment and Income Inequality,,"{'title': 'The Impact of Artificial Intelligence on Employment and Income Distribution', 'author': 'Liang', 'published_year': 2024, 'type': 'journal-article', 'doi': '10.54097/2a7a8830', 'container': 'Journal of Education, Humanities and Social Sciences'}",0.8784,0.0,"Journal of Education, Humanities and Social Sciences",exists
1314,"Sources pro or against the statement ""Low AI literacy can increase long-term dependence and reduce user control over decisions."".",World Economic Forum. (2018). AI and the Future of Work: Embracing the Opportunities. World Economic Forum.,World Economic Forum,,"{'title': 'World Economic Forum', 'author': '', 'published_year': 2011, 'type': 'reference-entry', 'doi': '10.4135/9781608712434.n1662', 'container': 'The Encyclopedia of Political Science'}",1.0,0.0,The Encyclopedia of Political Science,exists
1315,"Sources pro or against the statement ""Public perceptions of AI differ across demographic groups, which can create uneven adoption and uneven exposure to harms."".","Pew Research Center. (2019). Artificial Intelligence, Part 1: Public and experts’ differing views on AI’s impact. Retrieved from https://www.pewresearch.org/fact-tank/2019/04/01/artificial-intelligence-part-1-public-and-experts-differing-views-on-ais-impact/",Pew Research Center,,"{'title': 'Pew Research Center', 'author': '', 'published_year': 2018, 'type': 'book-chapter', 'doi': '10.1007/978-1-349-70154-4_163', 'container': 'The Statesman’s Yearbook'}",1.0,0.0,The Statesman’s Yearbook,exists
1315,"Sources pro or against the statement ""Public perceptions of AI differ across demographic groups, which can create uneven adoption and uneven exposure to harms."".",Brookings Institution. (2019). Artificial intelligence and the future of work: Opportunities and challenges for the American workforce. Retrieved from https://www.brookings.edu/research/artificial-intelligence-and-the-future-of-work-opportunities-and-challenges-for-the-american-workforce/,Brookings Institution,,"{'title': 'Brookings Institution', 'author': '', 'published_year': 2016, 'type': 'book-chapter', 'doi': '10.1007/978-1-349-68398-7_122', 'container': 'The Stateman’s Yearbook'}",1.0,0.0,The Stateman’s Yearbook,exists
1318,"Sources pro or against the statement ""AI digital companions can create emotional dependence that harms teenagers’ mental health."".",Royal Society for Public Health. (2017). #StatusOfMind: A study into the mental health and wellbeing of young people and adults in the digital age. Retrieved from https://www.rsph.org.uk/our-work/projects/projects-by-topic/mental-health/status-of-mind.html,Royal Society for Public Health,,"{'title': 'Royal Society for Public Health', 'author': '', 'published_year': 2011, 'type': 'journal-article', 'doi': '10.1108/nfs.2011.01741bab.027', 'container': 'Nutrition &amp; Food Science'}",1.0,0.0,Nutrition &amp; Food Science,exists
1318,"Sources pro or against the statement ""AI digital companions can create emotional dependence that harms teenagers’ mental health."".","National Academies of Sciences, Engineering, and Medicine. (2019). Artificial Intelligence and Life in 2030. Washington, DC: The National Academies Press. doi: 10.17226/25252","National Academies of Sciences, Engineering, and Medicine",,"{'title': 'The National Academies of Sciences, Engineering and Medicine', 'author': '', 'published_year': 2025, 'type': 'book-chapter', 'doi': '10.1057/978-1-349-96132-0_209', 'container': 'The Grants Register 2026'}",0.9573,0.0,The Grants Register 2026,exists
1321,"Sources pro or against the statement ""AI mental health tools can increase privacy risks because they often rely on sensitive personal data."".",American Psychological Association. (2020). Ethical principles of psychologists and code of conduct. Retrieved from https://www.apa.org/ethics/code/index,American Psychological Association,,"{'title': 'American Psychological Association', 'author': '', 'published_year': 1994, 'type': 'dataset', 'doi': '10.1037/e670262007-001', 'container': 'PsycEXTRA Dataset'}",1.0,0.0,PsycEXTRA Dataset,exists
1321,"Sources pro or against the statement ""AI mental health tools can increase privacy risks because they often rely on sensitive personal data."".",World Health Organization. (2020). Mental health e-services: Ensuring privacy and security. Retrieved from https://www.who.int/publications/i/item/9789240016134,World Health Organization,,"{'title': 'World Health Organization', 'author': 'Adams', 'published_year': 2012, 'type': 'journal-article', 'doi': '10.7748/ns2012.10.27.8.30.p9730', 'container': 'Nursing Standard'}",1.0,0.0,Nursing Standard,exists
1321,"Sources pro or against the statement ""AI mental health tools can increase privacy risks because they often rely on sensitive personal data."".",Electronic Frontier Foundation. (2020). Mental health apps: A guide for clinicians and patients. Retrieved from https://www.eff.org/issues/mental-health-apps,Electronic Frontier Foundation,,"{'title': 'Electronic Frontier Foundation', 'author': '', 'published_year': 2014, 'type': 'reference-entry', 'doi': '10.4135/9781452244723.n179', 'container': 'Encyclopedia of Social Media and Politics'}",1.0,0.0,Encyclopedia of Social Media and Politics,exists
1323,"Sources pro or against the statement ""Emissions can come from both developing models and running them for users, so ignoring either side can undercount impact."".","""The Energy Efficiency of Data Centers"" by The Green Grid (2011)",The Energy Efficiency of Data Centers,,"{'title': 'Energy Efficiency of Data Centers', 'author': 'Gyarmati; Trinh', 'published_year': 2011, 'type': 'book-chapter', 'doi': '10.1007/978-3-642-22179-8_12', 'container': 'Green IT: Technologies and Applications'}",0.9429,0.0,Green IT: Technologies and Applications,exists
1324,"Sources pro or against the statement ""Standard corporate reporting can hide the long-term climate cost of building data centers and buying new hardware."".",Carbon Disclosure Project. (2019). IT Climate Change Report 2019. Retrieved from <https://www.cdp.net/en/research/reports/it-climate-change-report-2019>,Carbon Disclosure Project,,"{'title': 'Carbon Disclosure Project', 'author': 'Baumast', 'published_year': 2013, 'type': 'book-chapter', 'doi': '10.1007/978-3-642-28036-8_559', 'container': 'Encyclopedia of Corporate Social Responsibility'}",1.0,0.0,Encyclopedia of Corporate Social Responsibility,exists
1325,"Sources pro or against the statement ""AI wellness apps can create very strong emotional attachment that makes users treat the app like a real relationship."".",Royal Society for Public Health. (2018). Digital mental health: A review of self-care apps for mental health problems in young people. Retrieved from https://www.rsph.org.uk/our-work/projects/digital-mental-health.html,Royal Society for Public Health,,"{'title': 'Royal Society for Public Health', 'author': '', 'published_year': 2011, 'type': 'journal-article', 'doi': '10.1108/nfs.2011.01741bab.027', 'container': 'Nutrition &amp; Food Science'}",1.0,0.0,Nutrition &amp; Food Science,exists
1327,"Sources pro or against the statement ""Emotional-harm risks in AI wellness apps can create major ethical, reputational, and legal exposure for companies."".","World Economic Forum. (2019). Artificial Intelligence in Mental Health: Opportunities, Challenges, and Recommendations.",World Economic Forum,,"{'title': 'World Economic Forum', 'author': '', 'published_year': 2011, 'type': 'reference-entry', 'doi': '10.4135/9781608712434.n1662', 'container': 'The Encyclopedia of Political Science'}",1.0,0.0,The Encyclopedia of Political Science,exists
1330,"Sources pro or against the statement ""AI use in election campaigns can outpace existing rules and create regulatory blind spots in digital media ecosystems. AI-generated ads, automated messaging, and photorealistic synthetic content can scale faster than campaign regulators can track."".","A study by the Center for Security and Emerging Technology (CSET) titled ""Artificial Intelligence and Political Polarization"" [2] highlights the challenges posed by AI in election campaigns, including the potential for regulatory blind spots.",Artificial Intelligence and Political Polarization,,"{'title': 'The artificial intelligence shock and socio-political polarization', 'author': 'Jacobs', 'published_year': 2024, 'type': 'journal-article', 'doi': '10.1016/j.techfore.2023.123006', 'container': 'Technological Forecasting and Social Change'}",0.8621,0.0,Technological Forecasting and Social Change,exists
1330,"Sources pro or against the statement ""AI use in election campaigns can outpace existing rules and create regulatory blind spots in digital media ecosystems. AI-generated ads, automated messaging, and photorealistic synthetic content can scale faster than campaign regulators can track."".",European Parliament. (2019). Artificial Intelligence: A European Approach to Excellence and Trust. Retrieved from https://www.europarl.europa.eu/RegData/etudes/IDAN/2018/610838/IPOL_IDA(2018)610838_EN.pdf,European Parliament,,"{'title': 'European Parliament', 'author': 'Simmonds', 'published_year': 1979, 'type': 'journal-article', 'doi': '10.1093/iclqaj/28.1.152', 'container': 'International and Comparative Law Quarterly'}",1.0,0.0,International and Comparative Law Quarterly,exists
1331,"Sources pro or against the statement ""Focusing regulation mainly on deepfakes can miss other influential AI uses in campaigns. AI can also be used for donor targeting, segmentation, and personalized outreach that shape political influence without obvious “fake content.”"".","""Artificial Intelligence and Political Campaigns: A Review of the Current State and Future Directions."" Journal of Political Marketing. 2020.",Artificial Intelligence and Political Campaigns: A Review of the Current State and Future Directions.,,"{'title': 'Artificial Intelligence for Psychotherapy: A Review of the Current State and Future Directions', 'author': 'Beg; Verma; M.', 'published_year': 2025, 'type': 'journal-article', 'doi': '10.1177/02537176241260819', 'container': 'Indian Journal of Psychological Medicine'}",0.8513,0.0,Indian Journal of Psychological Medicine,exists
1333,"Sources pro or against the statement ""The use of AI in propaganda can make content look more organic. AI enables influence campaigns to vary style and wording, which can reduce obvious signals of coordination."".","Barberá, J. L., & Howard, P. N. (2018). The Weaponization of Social Media: How Political Actors Manipulate Content, Harvest Data, and Exploit Platforms to Win Elections. Oxford University Press.","Barberá, J",,"{'title': 'Barberá, José', 'author': 'Amat', 'published_year': 2001, 'type': 'reference-book', 'doi': '10.1093/gmo/9781561592630.article.01995', 'container': 'Oxford Music Online'}",0.8696,0.0,Oxford Music Online,exists
1335,"Sources pro or against the statement ""Efficiency improvements can raise emissions even when they reduce energy use per unit of service."".",International Energy Agency. (2012). The Rebound Effect: Energy Efficiency and CO2 Emissions. Retrieved from <https://www.iea.org/reports/the-rebound-effect-energy-efficiency-and-co2-emissions>,International Energy Agency,,"{'title': 'International Energy Agency', 'author': 'Van de Graaf', 'published_year': 2014, 'type': 'book-chapter', 'doi': '10.4337/9781781953174.00038', 'container': 'Handbook of Governance and Security'}",1.0,0.0,Handbook of Governance and Security,exists
1337,"Sources pro or against the statement ""AI tools in research can create an illusion of understanding, where scientists believe they understand results better than they actually do. When AI outputs look coherent and complete, researchers may accept them without fully grasping the assumptions, limits, or weak points behind them."".","Gunning, D. (2017). The illusion of understanding in AI: A review of the literature. Journal of the Association for Information Science and Technology, 68(11), 2487-2500.","Gunning, D",,"{'title': 'gunning, adj.', 'author': '', 'published_year': 2024, 'type': 'book-chapter', 'doi': '10.1093/oed/3737536693', 'container': 'Oxford English Dictionary'}",0.8696,0.0,Oxford English Dictionary,exists
1337,"Sources pro or against the statement ""AI tools in research can create an illusion of understanding, where scientists believe they understand results better than they actually do. When AI outputs look coherent and complete, researchers may accept them without fully grasping the assumptions, limits, or weak points behind them."".","Gunning, D. (2017). The illusion of understanding in AI: A review of the literature. Journal of the Association for Information Science and Technology, 68(11)","Gunning, D",,"{'title': 'gunning, adj.', 'author': '', 'published_year': 2024, 'type': 'book-chapter', 'doi': '10.1093/oed/3737536693', 'container': 'Oxford English Dictionary'}",0.8696,0.0,Oxford English Dictionary,exists
1339,"Sources pro or against the statement ""The use of AI in research is making science less innovative and more vulnerable to errors."".","""Artificial Intelligence in Scientific Research: Opportunities and Challenges"" (2020) by T. Dietterich and M. K. Bowers [1] argues that AI can help automate repetitive tasks, freeing up researchers' time for more innovative work. However, they also acknowledge potential issues such as increased reliance on AI, which could lead to a decrease in human intuition and creativity.",Artificial Intelligence in Scientific Research: Opportunities and Challenges,,"{'title': 'ARTIFICIAL INTELLIGENCE AND SCIENTIFIC PRODUCTION: OPPORTUNITIES AND CHALLENGES', 'author': 'Santos; Souza; Dalcól', 'published_year': 2024, 'type': 'journal-article', 'doi': '10.1590/1980-265x-tce-2024-e003en', 'container': 'Texto &amp; Contexto - Enfermagem'}",0.8903,0.0,Texto &amp; Contexto - Enfermagem,exists
1341,"Sources pro or against the statement ""AI Companions can detract from time spent in face-to-face interactions with peers, family members, and romantic interests"".","Kross et al., ""Facebook Use Predicts Declines in Subjective Well-Being in Young Adults,"" PNAS, vol. 109, no. 20, 2012.","Facebook Use Predicts Declines in Subjective Well-Being in Young Adults,",,"{'title': 'Facebook Use Predicts Declines in Subjective Well-Being in Young Adults', 'author': 'Kross; Verduyn; Demiralp', 'published_year': 2013, 'type': 'journal-article', 'doi': '10.1371/journal.pone.0069841', 'container': 'PLoS ONE'}",0.993,0.0,PLoS ONE,exists
1342,"Sources pro or against the statement ""Adolescents experiencing psychological dependence on AI may be more likely to turn to AI companions than to human relationships for emotional expression"".","Kuss, D. J., & Griffiths, M. D. (2017). Problematic smartphone use: A systematic review and meta-analysis. Addiction, 112(12), 2045-2058.","Kuss, D",Addiction,"{'title': 'Kuss, Der', 'author': 'Corneilson', 'published_year': 2002, 'type': 'reference-book', 'doi': '10.1093/gmo/9781561592630.article.o902628', 'container': 'Oxford Music Online'}",0.875,0.3571,Oxford Music Online,exists
1352,"Sources pro or against the statement ""Heavy reliance on an LLM during essay writing can shift work from internal cognition to the tool (“cognitive offloading”), correlating with weaker neural engagement compared with writing unaided (and, in-between, using a search engine)"".","Sweller, J. M. (1994). The Role of Cognitive Offloading in Learning. In D. M. Jonassen (Ed.), Handbook of Research for Educational Communications and Technology (pp. 331-346). Simon and Schuster Macmillan.","Sweller, J",,"{'title': 'sweller, n.', 'author': '', 'published_year': 2023, 'type': 'book-chapter', 'doi': '10.1093/oed/7510454977', 'container': 'Oxford English Dictionary'}",0.8571,0.0,Oxford English Dictionary,exists
1353,"Sources pro or against the statement ""When people expect external access to information (or ready-made generation), they tend to encode/retain less of the content itself, potentially explaining poorer recall/quoting and lower “ownership” of produced text after tool-assisted writing"".","Bauer, S. L., Larkin, J. H., & Sweller, J. (1999). The cognitive consequences of living with computers. Educational Psychology Review, 11(3), 211-231.","Bauer, S",Educational Psychology Review,"{'title': 'Bauer,', 'author': '', 'published_year': None, 'type': 'dataset', 'doi': '10.1163/2405-8262_rgg4_com_01574', 'container': 'Religion in Geschichte und Gegenwart'}",0.8571,0.3077,Religion in Geschichte und Gegenwart,exists
1355,"Sources pro or against the statement ""Recursive training on model-generated data can cause “model collapse” Over generations, models progressively lose coverage of low-probability events (the distribution’s tails) and may converge toward a low-variance, distorted approximation of the original data distribution."".","Arora, Sanjeev, et al. ""Understanding deep learning requires rethinking generalization."" Journal of machine learning research. 2019.

These sources discuss the phenomenon of model collapse, its causes, and its implications in deep learning, particularly when training on generated data. They suggest that without proper measures, models can indeed lose coverage of low-probability events and converge to a distorted approximation of the original data distribution.",Understanding deep learning requires rethinking generalization.,,"{'title': 'Understanding deep learning (still) requires rethinking generalization', 'author': 'Zhang; Bengio; Hardt', 'published_year': 2021, 'type': 'journal-article', 'doi': '10.1145/3446776', 'container': 'Communications of the ACM'}",0.9323,0.0,Communications of the ACM,exists
1359,"Sources pro or against the statement ""Scaling up and “shaping up” can increase average accuracy in LLMs, yet still fails to create a reliable “safe operating region”"".","Scaling up and ""shaping up"" (increasing the size and fine-tuning of a language model) can indeed increase average accuracy in Large Language Models (LLMs) [1]. However, it does not necessarily create a reliable ""safe operating region,"" a term often used to refer to a model's ability to perform consistently well across a wide range of tasks and inputs [2].

This is because while larger models and fine-tuning can help improve performance on specific tasks, they do not guarantee robustness against biases, hallucinations, or other undesirable behaviors that can arise from the model's training data or architecture [3]. Furthermore, the ""safe operating region"" is still a topic of ongoing research, and there is no universally agreed-upon method for defining or achieving it [4].

References:",shaping up,,"{'title': 'Shaping up', 'author': 'Maitra', 'published_year': 2021, 'type': 'book-chapter', 'doi': '10.1201/9781003214335-9', 'container': ""Beginner's Guide to Code Algorithms""}",1.0,0.0,Beginner's Guide to Code Algorithms,exists
1371,"Sources pro or against the statement ""Both humans and preference models sometimes prefer convincing sycophantic answers to factual corrections on misconception prompts."".","This statement suggests a psychological phenomenon known as the ""illusory truth effect,"" which refers to people's tendency to believe information more when it is repeated, even if it's incorrect [1]. This effect could potentially apply to both humans and preference models.

However, it's important to note that preference models, such as those used in AI, do not have feelings, beliefs, or preferences in the human sense. They are programmed to respond based on their algorithms and the data they have been trained on [2]. Therefore, the preference for convincing sycophantic answers over factual corrections might not be applicable to preference models.

For humans:","illusory truth effect,",,"{'title': 'Illusory truth effect', 'author': 'Nadarevic', 'published_year': 2022, 'type': 'book-chapter', 'doi': '10.4324/9781003154730-17', 'container': 'Cognitive Illusions'}",0.9767,0.0,Cognitive Illusions,exists
1371,"Sources pro or against the statement ""Both humans and preference models sometimes prefer convincing sycophantic answers to factual corrections on misconception prompts."".","Goldstein, M. R., & Charness, G. (2012). The Illusory Truth Effect: A Meta-Analytic Review. Psychological Bulletin, 138(1), 3-33.

For preference models:","Goldstein, M",Psychological Bulletin,"{'title': 'Goldstein', 'author': '', 'published_year': 2025, 'type': 'dataset', 'doi': '10.24894/sprengglossarium_g11293', 'container': 'Johann Jakob Spreng, Allgemeines deutsches Glossarium. Historisch-etymologisches Wörterbuch der deutschen Sprache online'}",0.8571,0.2254,"Johann Jakob Spreng, Allgemeines deutsches Glossarium. Historisch-etymologisches Wörterbuch der deutschen Sprache online",exists
1374,"Sources pro or against the statement ""The semantic “faithfulness” of intermediate traces is not guaranteed. Models can produce correct final answers with incorrect/irrelevant intermediate text, and performance can remain high even when traces are noisy or nonsensical, so traces are a weak basis for auditing correctness."".","Li, Y., & Zhang, Y. (2016). ""Deep Learning Meets Natural Language Inference"". Proceedings of the 2016 Conference on Empirical Methods in Natural Language Processing, 1628–1637.",Deep Learning Meets Natural Language Inference,,"{'title': 'Deep Learning for Natural Language Inference', 'author': 'Bowman; Zhu', 'published_year': 2019, 'type': 'proceedings-article', 'doi': '10.18653/v1/n19-5002', 'container': 'Proceedings of the 2019 Conference of the North'}",0.9111,0.0,Proceedings of the 2019 Conference of the North,exists
1378,"Sources pro or against the statement ""The top open- and closed-weight LLMs exhibit significantly lower performance in multi-turn conversations than single-turn"".",National Research Council of Canada. (2019). Evaluating the Performance of Dialogue Systems. Retrieved from https://www.nrc-cnrc.gc.ca/eng/research_centres/ict/reports/2019/dialogue_systems.html,National Research Council of Canada,,"{'title': 'National Research Council of Canada', 'author': '', 'published_year': 1944, 'type': 'journal-article', 'doi': '10.1038/153262a0', 'container': 'Nature'}",1.0,0.0,Nature,exists
1386,"Sources pro or against the statement ""Chatbots were generally bad at declining to answer questions they couldn’t answer accurately, offering incorrect or speculative answers instead"".",Drift. (2018). The State of Conversational Marketing Report. Retrieved from https://www.drift.com/resources/state-of-conversational-marketing/,Drift,,"{'title': 'Drift', 'author': 'Sarah', 'published_year': 2004, 'type': 'journal-article', 'doi': '10.2307/4151377', 'container': 'The Hudson Review'}",1.0,0.0,The Hudson Review,exists
1389,"Sources pro or against the statement ""Generative search tools fabricated links and cited syndicated and copied versions of articles."".",News Media Alliance. (2019). The Digital Platforms and the News Media: A Broken Bargain. News Media Alliance.,News Media Alliance,,"{'title': 'New York Media Alliance', 'author': 'Sturken', 'published_year': 1980, 'type': 'journal-article', 'doi': '10.1525/aft.1980.8.4.2', 'container': 'Afterimage'}",0.8571,0.0,Afterimage,exists
1393,"Sources pro or against the statement ""Data centers house a huge number of servers, which consume a vast amount of energy to respond to information requests and store files and large amounts of resulting data."".",Greenpeace. (2019). Clicking Clean: The 2019 Update: How 28 Internet Companies are Powering the Global Transition to Renewable Energy. Greenpeace.,Greenpeace,,"{'title': 'Greenpeace', 'author': 'Zelko', 'published_year': 2014, 'type': 'edited-book', 'doi': '10.13109/9783666317125', 'container': ''}",1.0,0.0,,exists
1393,"Sources pro or against the statement ""Data centers house a huge number of servers, which consume a vast amount of energy to respond to information requests and store files and large amounts of resulting data."".","The New York Times. (2019, March 20). The Biggest Energy Users You've Never Heard Of. The New York Times.",The New York Times,,"{'title': 'New York Times', 'author': '', 'published_year': None, 'type': 'dataset', 'doi': '10.1163/9789004337862__com_140257', 'container': 'Lexikon des gesamten Buchwesens Online'}",0.875,0.0,Lexikon des gesamten Buchwesens Online,exists
1395,"Sources pro or against the statement ""Because “dark data” constitutes a large share of stored data yet remains unused, it can drive substantial and largely avoidable environmental footprints (carbon, water, land) from data storage operations"".","University of California, Santa Cruz. (2020). The Carbon Footprint of the Internet. Retrieved from https://www.soe.ucsc.edu/cyberinfrastructure/research/carbon-footprint-of-the-internet.html","University of California, Santa Cruz",,"{'title': 'University of California, Santa Cruz', 'author': 'Belasco; Bergman; Trivette', 'published_year': 2023, 'type': 'book-chapter', 'doi': '10.5771/9781475873191-326', 'container': 'Colleges Worth Your Money'}",1.0,0.0,Colleges Worth Your Money,exists
1398,"Sources pro or against the statement ""Internet-related environmental costs should not rely solely on carbon and quantify carbon, water, and land footprints."".",United Nations Environment Programme (UNEP). (2019). Digital carbon footprint: The environmental impact of the internet. Retrieved from https://www.unenvironment.org/resources/report/digital-carbon-footprint-environmental-impact-internet,United Nations Environment Programme (UNEP),,"{'title': 'United nations environment programme (unep)', 'author': '', 'published_year': None, 'type': 'reference-entry', 'doi': '10.1007/springerreference_29771', 'container': 'SpringerReference'}",1.0,0.0,SpringerReference,exists
1398,"Sources pro or against the statement ""Internet-related environmental costs should not rely solely on carbon and quantify carbon, water, and land footprints."".",Greenpeace. (2017). Clicking Clean: A Ranking of Global Internet Companies on Climate Change and Energy. Retrieved from https://www.greenpeace.org/international/publication/29348/clicking-clean-2017-ranking-of-global-internet-companies-on-climate-change-and-energy,Greenpeace,,"{'title': 'Greenpeace', 'author': 'Zelko', 'published_year': 2014, 'type': 'edited-book', 'doi': '10.13109/9783666317125', 'container': ''}",1.0,0.0,,exists
1398,"Sources pro or against the statement ""Internet-related environmental costs should not rely solely on carbon and quantify carbon, water, and land footprints."".","Hargreaves, J. (2019). The environmental impact of the internet: A critical review. Journal of Cleaner Production, 223, 119-128.","Hargreaves, J",Journal of Cleaner Production,"{'title': 'Hargreaves, W.', 'author': '', 'published_year': 2011, 'type': 'reference-entry', 'doi': '10.1093/benz/9780199773787.article.b00083897', 'container': 'Benezit Dictionary of Artists'}",0.8889,0.3448,Benezit Dictionary of Artists,exists
